order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023,2024
172,IRAS(ROW),real USD net interest payments on foreign assets,end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
173,"JNV(a01,USA)",installed investment,end,z1l,gdp,USA,1.18167538,1.19746561,1.19378728,1.16283641,1.17199433,1.19520355,1.19593367,1.18522459
174,"JNV(a01,ROW)",installed investment,end,z1l,gdp,ROW,1.18167538,1.19746561,1.19378728,1.16283641,1.17199433,1.19520355,1.19593367,1.18522459
175,"JNV(a02,USA)",installed investment,end,z1l,gdp,USA,14.1812224,14.3838547,14.4090913,14.35933244,14.35626644,14.49118964,14.51825207,14.420664
176,"JNV(a02,ROW)",installed investment,end,z1l,gdp,ROW,14.1812224,14.3838547,14.4090913,14.35933244,14.35626644,14.49118964,14.51825207,14.420664
177,JNVY(USA),installed investment in the raw capital sector,end,z1l,gdp,USA,0.40888979,0.42233509,0.42304043,0.41856019,0.42186794,0.43221519,0.43092253,0.42520045
178,JNVY(ROW),installed investment in the raw capital sector,end,z1l,gdp,ROW,0.40888979,0.42233509,0.42304043,0.41856019,0.42186794,0.43221519,0.43092253,0.42520045
179,JNVZ(USA),installed household investment,end,z1l,gdp,USA,3.03055828,3.06753673,3.05332607,2.99917815,3.0762761,3.12889485,3.10689971,3.0923444
180,JNVZ(ROW),installed household investment,end,z1l,gdp,ROW,3.03055828,3.06753673,3.05332607,2.99917815,3.0762761,3.12889485,3.10689971,3.0923444
181,"LAB(a01,USA)",sector demand for labor,end,z1l,gdp,USA,0.77157802,0.77044145,0.76808213,0.75133384,0.7518342,0.75789375,0.7621499,0.75898465
182,"LAB(a01,ROW)",sector demand for labor,end,z1l,gdp,ROW,0.77157802,0.77044145,0.76808213,0.75133384,0.7518342,0.75789375,0.7621499,0.75898465
183,"LAB(a02,USA)",sector demand for labor,end,z1l,gdp,USA,47.05941978,47.03304757,47.11601486,47.15196737,46.80468423,46.70052178,47.02175955,46.93197584
184,"LAB(a02,ROW)",sector demand for labor,end,z1l,gdp,ROW,47.05941978,47.03304757,47.11601486,47.15196737,46.80468423,46.70052178,47.02175955,46.93197584
185,LABO(USA),labor demand,end,z1l,gdp,USA,51.50240291,51.47553064,51.54363017,51.52087364,51.22635161,51.14977718,51.47026718,51.37362748
186,LABO(ROW),labor demand,end,z1l,gdp,ROW,51.50240291,51.47553064,51.54363017,51.52087364,51.22635161,51.14977718,51.47026718,51.37362748
187,LABX(USA),labor supply,exo,exo,gdp,USA,51.50240291,51.47553064,51.54363017,51.52087364,51.22635161,51.14977718,51.47026718,51.37362748
188,LABX(ROW),labor supply,exo,exo,gdp,ROW,51.50240291,51.47553064,51.54363017,51.52087364,51.22635161,51.14977718,51.47026718,51.37362748
